|       pc         |       inM        |    instruction   |rst|       outM       |wM |    addressM      |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 1 | 0000000000000000 | 0 | 0000000000000000 |
| 0000000000000001 | 0000000000000000 | 0000000000000000 | 0 | 0000000000000000 | 0 | 0000000000000000 |
| 0000000000000010 | 0000000000000000 | 0011000000111001 | 0 | 0000000000000000 | 0 | 0000000000000000 |
| 0000000000000100 | 0000000000000000 | 1110110000010000 | 0 | 1110110000010000 | 0 | 1110110000010000 |
| 0000000000000101 | 0000000000000000 | 0101101110100000 | 0 | 1111111111111111 | 0 | 1110110000010000 |
| 0000000000000111 | 0000000000000000 | 1110000111010000 | 0 | 1111010111000000 | 0 | 1110000111010000 |
| 0000000000001000 | 0000000000000000 | 0000001111101000 | 0 | 0000101001000000 | 0 | 1110000111010000 |
| 0000000000001010 | 0000000000000000 | 1110001100001000 | 0 | 1111010111000000 | 1 | 1110001100001000 |
| 0000000000001011 | 0000000000000000 | 0000001111101001 | 0 | 0000101001000000 | 0 | 1110001100001000 |
| 0000000000001101 | 0000000000000000 | 1110001110011000 | 0 | 1111010110111111 | 1 | 1110001110011000 |
| 0000000000001110 | 0000000000000000 | 0000001111101000 | 0 | 0000101001000001 | 0 | 1110001110011000 |
| 0000000000010001 | 0010101101100111 | 1111010011010000 | 0 | 1100101001011000 | 0 | 1111010011010000 |
| 0000000000010010 | 0010101101100111 | 0000000000001110 | 0 | 1100000001010000 | 0 | 1111010011010000 |
| 0000000000010100 | 0010101101100111 | 1110001100000100 | 0 | 1100101001011000 | 0 | 1110001100000100 |
| 1110001100000100 | 0010101101100111 | 0000001111100111 | 0 | 0011010110101000 | 0 | 1110001100000100 |
| 1110001100000110 | 0010101101100111 | 1110110111100000 | 0 | 1110110111100001 | 0 | 1110110111100000 |
| 1110001100000111 | 0010101101100111 | 1110001100001000 | 0 | 1100101001011000 | 1 | 1110110111100001 |
| 1110001100001001 | 0010101101100111 | 0000000000010101 | 0 | 1100100001000000 | 0 | 1110110111100001 |
| 1110001100001010 | 0010101101100111 | 1110011111000010 | 0 | 1100101001011001 | 0 | 0000000000010101 |
| 1110001100001100 | 0010101101100111 | 0000000000000010 | 0 | 0000000000010000 | 0 | 0000000000010101 |
| 1110001100001101 | 0010101101100111 | 1110000010010000 | 0 | 1100101001011010 | 0 | 0000000000000010 |
| 1110001100001111 | 0010101101100111 | 0000001111101000 | 0 | 0011010110100100 | 0 | 0000000000000010 |
| 1110001100010000 | 0010101101100111 | 1110111010010000 | 0 | 1111111111111111 | 0 | 0000001111101000 |
| 1110001100010010 | 0010101101100111 | 1110001100000001 | 0 | 1111111111111111 | 0 | 0000001111101000 |
| 1110001100010011 | 0010101101100111 | 1110001100000010 | 0 | 1111111111111111 | 0 | 0000001111101000 |
| 1110001100010101 | 0010101101100111 | 1110001100000011 | 0 | 1111111111111111 | 0 | 0000001111101000 |
| 1110001100010110 | 0010101101100111 | 1110001100000100 | 0 | 1111111111111111 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000101 | 0 | 1111111111111111 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000110 | 0 | 1111111111111111 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000111 | 0 | 1111111111111111 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110101010010000 | 0 | 0000000000000000 | 0 | 0000001111101000 |
| 0000001111101010 | 0010101101100111 | 1110001100000001 | 0 | 0000000000000000 | 0 | 0000001111101000 |
| 0000001111101011 | 0010101101100111 | 1110001100000010 | 0 | 0000000000000000 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000011 | 0 | 0000000000000000 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000100 | 0 | 0000000000000000 | 0 | 0000001111101000 |
| 0000001111101010 | 0010101101100111 | 1110001100000101 | 0 | 0000000000000000 | 0 | 0000001111101000 |
| 0000001111101011 | 0010101101100111 | 1110001100000110 | 0 | 0000000000000000 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000111 | 0 | 0000000000000000 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110111111010000 | 0 | 0000000000000001 | 0 | 0000001111101000 |
| 0000001111101010 | 0010101101100111 | 1110001100000001 | 0 | 0000000000000001 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000010 | 0 | 0000000000000001 | 0 | 0000001111101000 |
| 0000001111101010 | 0010101101100111 | 1110001100000011 | 0 | 0000000000000001 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000100 | 0 | 0000000000000001 | 0 | 0000001111101000 |
| 0000001111101010 | 0010101101100111 | 1110001100000101 | 0 | 0000000000000001 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000110 | 0 | 0000000000000001 | 0 | 0000001111101000 |
| 0000001111101010 | 0010101101100111 | 1110001100000111 | 0 | 0000000000000001 | 0 | 0000001111101000 |
| 0000001111101000 | 0010101101100111 | 1110001100000111 | 1 | 0000000000000001 | 0 | 0000001111101000 |
| 0000000000000001 | 0010101101100111 | 0111111111111111 | 0 | 0000000000000001 | 0 | 0111111111111111 |
